dt,symbol,price,arbitrum_vol_ex_uni,__row_index
2024-07-21T10:00:00.000Z,WBTC,66821.0,4300375.54,79
2024-07-21T09:00:00.000Z,WETH,3489.64,5375681.68,80
2024-07-21T09:00:00.000Z,WBTC,66763.0,5375681.68,81
2024-07-21T08:00:00.000Z,WETH,3484.82,3106412.99,82
2024-07-21T08:00:00.000Z,WBTC,66776.0,3106412.99,83
2024-07-21T07:00:00.000Z,WBTC,67155.0,5778458.69,84
2024-07-21T07:00:00.000Z,WETH,3503.84,5778458.69,85
2024-07-21T06:00:00.000Z,WBTC,67118.0,6447781.09,86
2024-07-21T06:00:00.000Z,WETH,3505.83,6447781.09,87
2024-07-21T05:00:00.000Z,WETH,3513.73,3495642.54999999,88
2024-07-21T05:00:00.000Z,WBTC,67256.0,3495642.54999999,89
2024-07-21T04:00:00.000Z,WBTC,67342.0,3665568.63,90
2024-07-21T04:00:00.000Z,WETH,3518.62,3665568.63,91
2024-07-21T03:00:00.000Z,WBTC,67328.0,4247566.85,92
2024-07-21T03:00:00.000Z,WETH,3521.2,4247566.85,93
2024-07-21T02:00:00.000Z,WETH,3510.96,3778210.35,94
2024-07-21T02:00:00.000Z,WBTC,67066.0,3778210.35,95
2024-07-21T01:00:00.000Z,WBTC,67127.0,3926340.55,96
2024-07-21T01:00:00.000Z,WETH,3523.97,3926340.55,97
2024-07-21T00:00:00.000Z,WETH,3511.76,5747191.74,98
2024-07-21T00:00:00.000Z,WBTC,67033.0,5747191.74,99
2024-07-20T23:00:00.000Z,WETH,3518.91,2575537.81,100
2024-07-20T23:00:00.000Z,WBTC,67160.0,2575537.81,101
2024-07-20T22:00:00.000Z,WBTC,67467.0,4393061.29000001,102
2024-07-20T22:00:00.000Z,WETH,3510.65,4393061.29000001,103
2024-07-20T21:00:00.000Z,WBTC,67263.0,7105696.58,104
2024-07-20T21:00:00.000Z,WETH,3516.02,7105696.58,105
2024-07-20T20:00:00.000Z,WBTC,67516.0,2951385.90999999,106
2024-07-20T20:00:00.000Z,WETH,3533.04,2951385.90999999,107
2024-07-20T19:00:00.000Z,WBTC,67359.0,6421844.92999996,108
2024-07-20T19:00:00.000Z,WETH,3525.49,6421844.92999996,109
2024-07-20T18:00:00.000Z,WETH,3497.97,7144939.23999999,110
2024-07-20T18:00:00.000Z,WBTC,66838.0,7144939.23999999,111
2024-07-20T17:00:00.000Z,WBTC,66713.0,19503281.6,112
2024-07-20T17:00:00.000Z,WETH,3501.48,19503281.6,113
2024-07-20T16:00:00.000Z,WETH,3495.79,8214912.62999998,114
2024-07-20T16:00:00.000Z,WBTC,66645.0,8214912.62999998,115
2024-07-20T15:00:00.000Z,WETH,3495.54,7215290.86,116
2024-07-20T15:00:00.000Z,WBTC,66542.0,7215290.86,117
2024-07-20T14:00:00.000Z,WBTC,66638.0,7311488.32,118
2024-07-20T14:00:00.000Z,WETH,3495.99,7311488.32,119
2024-07-20T13:00:00.000Z,WETH,3489.76,7763543.14,120
2024-07-20T13:00:00.000Z,WBTC,66584.0,7763543.14,121
2024-07-20T12:00:00.000Z,WETH,3488.41,6026200.22999999,122
2024-07-20T12:00:00.000Z,WBTC,66564.0,6026200.22999999,123
2024-07-20T11:00:00.000Z,WETH,3487.28,4474624.72,124
2024-07-20T11:00:00.000Z,WBTC,66690.0,4474624.72,125
2024-07-20T10:00:00.000Z,WBTC,66625.0,5095413.8,126
2024-07-20T10:00:00.000Z,WETH,3487.55,5095413.8,127
2024-07-20T09:00:00.000Z,WETH,3495.95,5923849.68,128
2024-07-20T09:00:00.000Z,WBTC,66617.0,5923849.68,129
2024-07-20T08:00:00.000Z,WBTC,66633.0,6903686.56,130
2024-07-20T08:00:00.000Z,WETH,3503.22,6903686.56,131
2024-07-20T07:00:00.000Z,WETH,3505.58,5377408.66,132
2024-07-20T07:00:00.000Z,WBTC,66609.0,5377408.66,133
2024-07-20T06:00:00.000Z,WETH,3505.4,4280990.59,134
2024-07-20T06:00:00.000Z,WBTC,66651.0,4280990.59,135
2024-07-20T05:00:00.000Z,WETH,3500.86,3470751.41,136
2024-07-20T05:00:00.000Z,WBTC,66717.0,3470751.41,137
2024-07-20T04:00:00.000Z,WBTC,66591.0,7511688.09000001,138
2024-07-20T04:00:00.000Z,WETH,3496.22,7511688.09000001,139
2024-07-20T03:00:00.000Z,WBTC,66348.0,4838176.74,140
2024-07-20T03:00:00.000Z,WETH,3484.75,4838176.74,141
2024-07-20T02:00:00.000Z,WETH,3493.37,3291839.51,142
2024-07-20T02:00:00.000Z,WBTC,66499.0,3291839.51,143
2024-07-20T01:00:00.000Z,WBTC,66659.0,9470869.15,144
2024-07-20T01:00:00.000Z,WETH,3495.5,9470869.15,145
2024-07-20T00:00:00.000Z,WETH,3512.87,8155092.33,146
2024-07-20T00:00:00.000Z,WBTC,66721.0,8155092.33,147
2024-07-19T23:00:00.000Z,WBTC,66956.0,4063848.69,148
2024-07-19T23:00:00.000Z,WETH,3512.42,4063848.69,149
2024-07-19T22:00:00.000Z,WETH,3521.35,4215875.46,150
2024-07-19T22:00:00.000Z,WBTC,66946.0,4215875.46,151
2024-07-19T21:00:00.000Z,WETH,3528.05,7950201.95,152
2024-07-19T21:00:00.000Z,WBTC,67264.0,7950201.95,153
2024-07-19T20:00:00.000Z,WETH,3502.8,15043595.0899999,154
2024-07-19T20:00:00.000Z,WBTC,67177.0,15043595.0899999,155
2024-07-19T19:00:00.000Z,WBTC,66667.0,22870858.83,156
2024-07-19T19:00:00.000Z,WETH,3495.89,22870858.83,157
2024-07-19T18:00:00.000Z,WETH,3505.7,13525177.8,158
2024-07-19T18:00:00.000Z,WBTC,66310.0,13525177.8,159
2024-07-19T17:00:00.000Z,WBTC,65747.0,18902293.69,160
2024-07-19T17:00:00.000Z,WETH,3490.04,18902293.69,161
2024-07-19T16:00:00.000Z,WBTC,65652.0,26202227.56,162
2024-07-19T16:00:00.000Z,WETH,3462.12,26202227.56,163
2024-07-19T15:00:00.000Z,WBTC,64917.0,17831745.84,164
2024-07-19T15:00:00.000Z,WETH,3433.76,17831745.84,165
2024-07-19T14:00:00.000Z,WETH,3413.63,20741483.49,166
2024-07-19T14:00:00.000Z,WBTC,64352.0,20741483.49,167
2024-07-19T13:00:00.000Z,WBTC,64170.0,20074289.88,168
2024-07-19T13:00:00.000Z,WETH,3405.08,20074289.88,169
2024-07-19T12:00:00.000Z,WBTC,64007.0,5901705.10999998,170
2024-07-19T12:00:00.000Z,WETH,3398.56,5901705.10999998,171
2024-07-19T11:00:00.000Z,WETH,3393.11,5377247.35,172
2024-07-19T11:00:00.000Z,WBTC,63811.0,5377247.35,173
2024-07-19T10:00:00.000Z,WETH,3391.54,8608319.44999999,174
2024-07-19T10:00:00.000Z,WBTC,63809.0,8608319.44999999,175
2024-07-19T09:00:00.000Z,WETH,3395.27,8473636.37000002,176
2024-07-19T09:00:00.000Z,WBTC,63666.0,8473636.37000002,177
2024-07-19T08:00:00.000Z,WBTC,64288.0,15188682.78,178
2024-07-19T08:00:00.000Z,WETH,3423.72,15188682.78,179
2024-07-19T07:00:00.000Z,WETH,3438.51,17532522.72,180
2024-07-19T07:00:00.000Z,WBTC,64415.0,17532522.72,181
2024-07-19T06:00:00.000Z,WBTC,64234.0,10364988.89,182
2024-07-19T06:00:00.000Z,WETH,3424.91,10364988.89,183
2024-07-19T05:00:00.000Z,WBTC,64264.0,5214862.87,184
2024-07-19T05:00:00.000Z,WETH,3427.5,5214862.87,185
2024-07-19T04:00:00.000Z,WETH,3413.17,5528022.01,186
2024-07-19T04:00:00.000Z,WBTC,63740.0,5528022.01,187
2024-07-19T03:00:00.000Z,WETH,3411.73,10319803.96,188
2024-07-19T03:00:00.000Z,WBTC,63891.0,10319803.96,189
2024-07-19T02:00:00.000Z,WETH,3407.46,10753892.7,190
2024-07-19T02:00:00.000Z,WBTC,63652.0,10753892.7,191
2024-07-19T01:00:00.000Z,WETH,3430.14,18295415.53,192
2024-07-19T01:00:00.000Z,WBTC,64033.0,18295415.53,193
2024-07-19T00:00:00.000Z,WBTC,64051.0,12410491.58,194
2024-07-19T00:00:00.000Z,WETH,3430.52,12410491.58,195
2024-07-18T23:00:00.000Z,WBTC,63851.0,4570946.01,196
2024-07-18T23:00:00.000Z,WETH,3417.39,4570946.01,197
2024-07-18T22:00:00.000Z,WBTC,63807.0,7936768.35,198
2024-07-18T22:00:00.000Z,WETH,3411.5,7936768.35,199
2024-07-18T21:00:00.000Z,WETH,3414.15,4478775.75999999,200
2024-07-18T21:00:00.000Z,WBTC,63883.0,4478775.75999999,201
2024-07-18T20:00:00.000Z,WBTC,63666.0,7425648.02999999,202
2024-07-18T20:00:00.000Z,WETH,3402.68,7425648.02999999,203
2024-07-18T19:00:00.000Z,WETH,3408.34,9510771.19999998,204
2024-07-18T19:00:00.000Z,WBTC,63720.0,9510771.19999998,205
2024-07-18T18:00:00.000Z,WETH,3413.52,8531120.69,206
2024-07-18T18:00:00.000Z,WBTC,63990.0,8531120.69,207
2024-07-18T17:00:00.000Z,WETH,3387.83,10482146.22,208
2024-07-18T17:00:00.000Z,WBTC,63684.0,10482146.22,209
2024-07-18T16:00:00.000Z,WETH,3435.97,16173850.88,210
2024-07-18T16:00:00.000Z,WBTC,64130.0,16173850.88,211
2024-07-18T15:00:00.000Z,WBTC,64640.0,18079808.46,212
2024-07-18T15:00:00.000Z,WETH,3458.94,18079808.46,213
2024-07-18T14:00:00.000Z,WBTC,64919.0,16246247.82,214
2024-07-18T14:00:00.000Z,WETH,3478.23,16246247.82,215
2024-07-18T13:00:00.000Z,WETH,3451.48,15924131.27,216
