avg_liquidity,day,fee_apr,fee_tier,fees_usd,lp_addr,num_trades,token_pair,tvl_usd,volume_to_tvl,volume_usd
3.1341532297303724e+21,2024-07-19 23:00:00.000 UTC,0.0005585558858411943,1.00%,3.4625323972755595,0x730691cdac3cbd4d41fc5eb9d8abbb0cea795b94,3,OP-WETH,2262664.0539621185,0.00015302900981753651,346.253239727556
7094916214517113,2024-07-19 23:00:00.000 UTC,0.00019409367106093534,0.30%,0.266086587832032,0xb589969d38ce76d3d7aa319de7133bc9755fd840,9,USDC-WETH,500385.2212685774,0.00017725449415249107,88.695529277344
1.8192063947922916e+23,2024-07-19 23:00:00.000 UTC,7.038786390523022e-05,0.01%,0.2003757816591745,0x04f6c85a1b00f6d9b75f91fd23835974cc07e65c,8,WETH-wstETH,1039059.2391869349,0.0019284346272303854,2003.7578165917446
1447565982603563.2,2024-07-19 23:00:00.000 UTC,5.2513115752494954e-05,0.30%,0.007219461118238998,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,11,USDC-WETH,50179.90784657987,4.795718331668917e-05,2.406487039413
10387468395640080,2024-07-19 23:00:00.000 UTC,3.150192426915055e-06,0.30%,0.010530035076188795,0x73b14a78a0d396c521f954532d43fd5ffe385216,1,WBTC-WETH,1220072.3848956788,2.8768880728031984e-06,3.510011692062932
47415530006949356000,2024-07-20 00:00:00.000 UTC,0.0742313684376894,1.00%,1204.104215469626,0xd1f1bad4c9e6c44dec1e9bf3b94902205c5cd6c3,2783,USDC-WLD,5920651.173439492,0.020337361215795557,120410.42154696277
2.3890440120748737e+22,2024-07-20 00:00:00.000 UTC,0.07133295520567295,0.30%,128.92387904006037,0x2ae3d6096d8215ac2acddf30c60caa984ea5debe,62,WETH-WLD,659684.0929124325,0.06514425132938796,42974.62634668682
2187105130217907200,2024-07-20 00:00:00.000 UTC,0.047098288102646046,1.00%,158.28720337260424,0xdc6cb16b8d635ef255cef370263c35ac0007186a,18,USDC-WLD,1226686.3947378723,0.012903640576076352,15828.720337260422
31597241405955410,2024-07-20 00:00:00.000 UTC,0.0093060534536471,0.05%,95.4600580622267,0x85c31ffa3706d1cce9d525a00f1c7d4a2911754c,69,WBTC-WETH,3744113.5886858082,0.050992073718432965,190920.11612445334
195028628500849570,2024-07-20 00:00:00.000 UTC,0.00835788145739591,0.05%,56.616692103978316,0x1fb3cf6e48f1e7b10213e7b6d87d4c073c7fdb7b,188,USDC-WETH,2472527.6044278406,0.04579661072546837,113233.38420795665
