avg_liquidity,day,fee_apr,fee_tier,fees_usd,lp_addr,num_trades,token_pair,tvl_usd,volume_to_tvl,volume_usd
6.455623195673982e+23,2024-07-17 11:00:00.000 UTC,0.010962929356850282,1.00%,699.1887012498711,0xba3f945812a83471d709bce9c3ca699a19fb46f7,62,BRETT-WETH,23278803.287887882,0.0030035422895371244,69918.87012498711
3.427396740211489e+22,2024-07-17 11:00:00.000 UTC,0.010513536075973384,0.05%,2.816181299464227,0x6f4482cbf7b43599078fcb012732e20480015644,7,WETH-wstETH,97769.78619517625,0.0576084168547189,5632.362598928455
1.1148291400255767e+24,2024-07-17 11:00:00.000 UTC,0.006067823669844152,1.00%,94.67460922386462,0x4b0aaf3ebb163dd45f663b38b6d93f6093ebc2d3,13,TOSHI-WETH,5694996.138180714,0.0016624174437826537,9467.460922386466
3.4203339927315155e+23,2024-07-17 11:00:00.000 UTC,0.004053829877243009,0.01%,16.407787640296633,0x20e068d76f9e90b90604500b84c7e19dcb923e7e,39,WETH-wstETH,1477329.505695241,0.11106383225301536,164077.87640296636
2.4775523607887515e+21,2024-07-17 11:00:00.000 UTC,0.003348941704726105,1.00%,1.0126707531097054,0x0ca6485b7e9cf814a3fd09d81672b07323535b64,11,DEGEN-WETH,110370.63570375611,0.000917518275266437,101.26707531097054
172861705602835,2024-07-17 11:00:00.000 UTC,0.0027360022313172028,1.00%,0.06275930048375,0xe584fe0c7505025c3819c82c99944b79a7cc009d,2,USDbC-WETH,8372.4875713112,0.0007495896524086614,6.275930048375
22294751895465460,2024-07-17 11:00:00.000 UTC,0.0018799645120837205,0.01%,9.962237764528233,0xd56da2b74ba826f19015e6b7dd9dae1903e85da1,137,USDC-USDT,1934194.3748108002,0.05150587704249076,99622.37764528237
51080961214761394000,2024-07-17 11:00:00.000 UTC,0.00042187672439353285,0.01%,0.0005862366171630404,0xac1bd19ba4d6e8e4a40eb6088f9cdc7ca34f36b6,5,DEGEN-WETH,507.201163038588,0.011558266421373312,5.862366171630402
39477219740140.71,2024-07-17 11:00:00.000 UTC,8.109287470969839e-05,0.01%,0.002562092637242364,0x3b8000cd10625abdc7370fb47ed4d4a9c6311fd5,7,USDbC-WETH,11532.009633737089,0.002221722595294162,25.620926372423643
274986560468953800000,2024-07-17 11:00:00.000 UTC,1.2493557554060786e-05,1.00%,0.015836146645773694,0x0d5959a52e7004b601f0be70618d01ac3cdce976,1,AERO-WETH,462653.9323116872,3.42289247746088e-06,1.5836146645773692
2.3907460647877284e+22,2024-07-17 12:00:00.000 UTC,2.4043530883784703,1.00%,552.8536372916889,0xadad4ce0c68f50a19cf5063e0b91d701daab1df1,141,MIGGLES-WETH,83927.59723471389,0.6587268735283399,55285.36372916883
